season,week,picked,opponent,pick_spread,p,covered,is_push,is_fav_pick
2020,1,TB,NO,4.0,0.5196340680122375,0,False,False
2020,1,PIT,NYG,-6.0,0.4995647370815277,1,False,True
2020,1,PHI,WAS,-5.5,0.4602090120315552,0,False,True
2020,2,CAR,ARI,7.5,0.6287244558334351,0,False,False
2020,2,ATL,DAL,3.0,0.6725707650184631,1,False,False
2020,2,HOU,BAL,7.5,0.5923171043395996,0,False,False
2020,2,BUF,MIA,-5.5,0.5591655969619751,0,False,True
2020,2,NYG,CHI,4.5,0.6045284867286682,1,False,False
2020,2,CIN,CLE,6.0,0.6718780994415283,1,False,False
2020,2,PIT,DEN,-6.0,0.48478537797927856,0,False,True
2020,2,DET,GB,7.0,0.698013424873352,0,False,False
2020,2,MIN,IND,3.5,0.7397119998931885,0,False,False
2020,2,JAX,TEN,7.0,0.5966689586639404,1,False,False
2020,2,KC,LAC,-8.5,0.5170332193374634,0,False,True
2020,2,LA,PHI,2.0,0.4261817932128906,1,False,False
2020,2,LV,NO,4.0,0.4766654372215271,1,False,False
2020,2,SEA,NE,-4.0,0.47488993406295776,1,False,True
2020,2,NYJ,SF,7.0,0.6635367274284363,0,False,False
2020,2,WAS,TB,7.5,0.5939397811889648,0,False,False
2020,3,DET,ARI,4.5,0.5851688981056213,1,False,False
2020,3,CHI,ATL,2.5,0.5082849264144897,1,False,False
2020,3,GB,BAL,3.5,0.5985928177833557,1,False,False
2020,3,BUF,LA,-1.5,0.45957210659980774,1,False,True
2020,3,CAR,LAC,6.0,0.5666631460189819,1,False,False
2020,3,CIN,PHI,5.5,0.5353199243545532,1,False,False
2020,3,WAS,CLE,7.5,0.5236847996711731,0,False,False
2020,3,DAL,SEA,5.5,0.5795154571533203,0,False,False
2020,3,TB,DEN,-6.0,0.5053304433822632,1,False,True
2020,3,HOU,PIT,4.0,0.7007076144218445,0,False,False
2020,3,NYJ,IND,12.5,0.650925874710083,0,False,False
2020,3,MIA,JAX,3.0,0.589549720287323,1,False,False
2020,3,KC,NO,3.5,0.5421212315559387,1,False,False
2020,3,LV,NE,7.0,0.551034152507782,0,False,False
2020,3,MIN,SF,3.0,0.6250401139259338,1,False,False
2020,3,NYG,TEN,3.0,0.5465213060379028,0,True,False
2020,4,CAR,ARI,3.0,0.6007772088050842,1,False,False
2020,4,ATL,GB,5.0,0.5443485975265503,0,False,False
2020,4,BAL,WAS,-14.5,0.571732223033905,0,False,True
2020,4,DET,BUF,3.0,0.30143019556999207,0,False,False
2020,4,CHI,IND,3.5,0.34635376930236816,0,False,False
2020,4,DEN,CIN,1.0,0.5631992816925049,1,False,False
2020,4,CLE,DAL,3.5,0.7673913240432739,1,False,False
2020,4,MIN,HOU,3.5,0.5329834818840027,1,False,False
2020,4,NYJ,JAX,-1.0,0.7995918989181519,0,True,True
2020,4,KC,NE,-7.0,0.5631141662597656,1,False,True
2020,4,LA,NYG,-13.5,0.6291801333427429,0,False,True
2020,4,TB,LAC,-7.5,0.5370368957519531,0,False,True
2020,4,NO,LV,-3.0,0.6548492312431335,1,False,True
2020,4,SEA,MIA,-4.5,0.363819420337677,1,False,True
2020,4,PHI,SF,8.5,0.42882105708122253,1,False,False
2020,5,NYJ,ARI,7.0,0.7819045782089233,0,False,False
2020,5,ATL,CAR,-2.5,0.5893243551254272,0,False,True
