season,week,team_a,team_b,spread_a,is_home_a,mu_a,mu_b,p_t_a,p_t_b,edge_a,pick,p_pick,covered,result,units
2024,5,ATL,DAL,-2.5,1,5.253408,-3.836347,0.5812876287474765,0.460308222077778,2.7534079551696777,ATL,0.5812876287474765,1.0,WIN,0.9090909090909091
2024,5,BAL,CIN,-2.5,0,5.055894,2.0645375,0.5755389339983786,0.6329248892542273,2.555893898010254,CIN,0.6329248892542273,0.0,LOSS,-1.0
2024,5,BUF,HOU,1.0,0,2.108409,3.6004555,0.5915699187289278,0.5768375524812936,3.1084089279174805,BUF,0.5915699187289278,0.0,LOSS,-1.0
2024,5,CAR,CHI,4.0,0,-6.852129,0.9100545,0.4158463272060229,0.40896317668395604,-2.8521289825439453,CAR,0.4158463272060229,0.0,LOSS,-1.0
2024,5,CLE,DEN,3.0,0,-3.0378206,-3.7057,0.49887456121708135,0.3094297116200595,-0.03782057762145996,CLE,0.49887456121708135,0.0,LOSS,-1.0
2024,5,GB,LA,-3.0,0,0.28666356,-3.4879584,0.419877122481214,0.485483273558161,-2.7133364379405975,LA,0.485483273558161,0.0,LOSS,-1.0
2024,5,IND,JAX,3.5,0,-3.110237,-5.012773,0.5115964718765398,0.26452454004644177,0.38976311683654785,IND,0.5115964718765398,1.0,WIN,0.9090909090909091
2024,5,KC,NO,-5.5,1,5.171156,-2.810512,0.49021557961255324,0.5794292995740936,-0.3288440704345703,NO,0.5794292995740936,0.0,LOSS,-1.0
2024,5,LV,WAS,3.0,0,-3.7551584,7.8586183,0.4775419202521042,0.6410881697811706,-0.7551584243774414,WAS,0.6410881697811706,1.0,WIN,0.9090909090909091
2024,5,MIA,NE,-2.0,0,0.40920162,-4.535859,0.45278741460621186,0.4250452250226379,-1.5907983779907227,MIA,0.45278741460621186,1.0,WIN,0.9090909090909091
2024,5,MIN,NYJ,-2.5,1,-1.5692817,-4.621865,0.3809757743149712,0.43715578509510544,-4.069281697273254,NYJ,0.43715578509510544,0.0,LOSS,-1.0
2024,5,NYG,SF,7.0,0,-10.407349,2.009252,0.39982620458450085,0.3552674054175159,-3.4073486328125,NYG,0.39982620458450085,1.0,WIN,0.9090909090909091
2024,5,PIT,TB,-2.5,1,1.1397091,1.0779595,0.45959978307666544,0.6050599682690291,-1.3602908849716187,TB,0.6050599682690291,,PUSH,0.0
2024,6,ARI,GB,5.5,0,-4.0671425,1.368702,0.5425463922391804,0.37922509540489946,1.4328575134277344,ARI,0.5425463922391804,0.0,LOSS,-1.0
2024,6,ATL,CAR,-6.0,0,1.472533,-3.3536403,0.36810908269706166,0.5781743079145522,-4.5274670124053955,CAR,0.5781743079145522,0.0,LOSS,-1.0
2024,6,BAL,WAS,-6.5,1,3.9743638,8.37164,0.42534336871196,0.8601426310392393,-2.5256361961364746,WAS,0.8601426310392393,0.0,LOSS,-1.0
2024,6,BUF,NYJ,-1.0,0,-2.981451,-5.526301,0.38345989382345064,0.3681416253418405,-3.9814510345458984,BUF,0.38345989382345064,1.0,WIN,0.9090909090909091
2024,6,CHI,JAX,1.5,1,6.4576735,3.5333333,0.7220869354882269,0.5602452780868408,7.9576735496521,CHI,0.7220869354882269,1.0,WIN,0.9090909090909091
2024,6,CIN,NYG,-4.5,0,-5.1818695,-3.4181986,0.23758027916097213,0.5321520663232224,-9.681869506835938,NYG,0.5321520663232224,0.0,LOSS,-1.0
2024,6,CLE,PHI,8.0,0,-4.736483,5.5432878,0.5960406846611013,0.4273547367805053,3.263516902923584,CLE,0.5960406846611013,1.0,WIN,0.9090909090909091
2024,6,DAL,DET,3.5,1,-1.8285118,5.82671,0.5495936803747042,0.5688457121938099,1.6714881658554077,DET,0.5688457121938099,1.0,WIN,0.9090909090909091
2024,6,DEN,LAC,3.0,1,-3.5329382,-10.138696,0.48414589139295355,0.16846310400190928,-0.5329382419586182,DEN,0.48414589139295355,0.0,LOSS,-1.0
2024,6,HOU,NE,-6.5,0,4.872565,-5.4332013,0.45170604523382774,0.5317072435784674,-1.6274352073669434,NE,0.5317072435784674,0.0,LOSS,-1.0
2024,6,IND,TEN,2.5,0,-8.1463375,-6.855762,0.3374116590060495,0.24492111997440008,-5.646337509155273,IND,0.3374116590060495,1.0,WIN,0.9090909090909091
2024,6,LV,PIT,3.5,1,-3.2498982,4.901451,0.5074418804580206,0.5416177085356781,0.25010180473327637,PIT,0.5416177085356781,1.0,WIN,0.9090909090909091
2024,6,NO,SF,3.5,1,-4.1894403,1.7371615,0.47949430819807537,0.44771308162832146,-0.6894402503967285,NO,0.47949430819807537,0.0,LOSS,-1.0
2024,6,SEA,TB,3.5,1,7.1344724,0.60219365,0.7830666131964765,0.4145219345407759,10.634472370147705,SEA,0.7830666131964765,0.0,LOSS,-1.0
2024,7,ARI,LAC,1.0,1,0.5206255,-4.1646314,0.5451402690289743,0.35049410669757064,1.5206254720687866,ARI,0.5451402690289743,1.0,WIN,0.9090909090909091
2024,7,ATL,HOU,-3.0,1,7.579606,7.2858644,0.6333448700868958,0.775649847077619,4.579606056213379,HOU,0.775649847077619,1.0,WIN,0.9090909090909091
2024,7,BAL,TB,-4.5,0,3.0818813,3.5691447,0.45788939993711564,0.724805341784438,-1.4181187152862549,TB,0.724805341784438,0.0,LOSS,-1.0
2024,7,BUF,TEN,-9.5,1,1.6682206,-6.8153615,0.2810009469916268,0.5792882309011298,-7.831779360771179,TEN,0.5792882309011298,0.0,LOSS,-1.0
2024,7,CAR,WAS,10.0,0,-6.1300445,7.388407,0.6133788602095768,0.4228380318178102,3.869955539703369,CAR,0.6133788602095768,0.0,LOSS,-1.0
2024,7,CIN,CLE,-5.5,0,-1.2278955,-0.44728312,0.30885579415314973,0.6464367142917502,-6.727895498275757,CLE,0.6464367142917502,0.0,LOSS,-1.0
2024,7,DEN,NO,-2.5,0,-2.02075,-5.989606,0.3682965485957951,0.39746814141015885,-4.520750045776367,NO,0.39746814141015885,0.0,LOSS,-1.0
2024,7,DET,MIN,1.0,0,5.067179,-4.7905016,0.6738392874602348,0.3335382397978981,6.067179203033447,DET,0.6738392874602348,1.0,WIN,0.9090909090909091
2024,7,GB,MIA,-3.0,1,1.0811098,3.0500784,0.4431186615281031,0.6733854821404306,-1.9188902378082275,MIA,0.6733854821404306,,PUSH,0.0
2024,7,IND,SEA,-3.0,1,1.8706677,1.9753685,0.4664389714852464,0.6443091573005888,-1.1293323040008545,SEA,0.6443091573005888,1.0,WIN,0.9090909090909091
2024,7,JAX,NE,-6.5,1,0.01723808,-5.647187,0.31522328404356315,0.525358100986567,-6.482761919498444,NE,0.525358100986567,0.0,LOSS,-1.0
2024,7,KC,SF,2.5,0,3.2866137,5.708052,0.6663575602437329,0.5944435858769817,5.786613702774048,KC,0.6663575602437329,1.0,WIN,0.9090909090909091
2024,7,LA,LV,-7.0,1,-3.2829323,-4.7523575,0.22441321812753773,0.5665312534970655,-10.28293228149414,LV,0.5665312534970655,1.0,WIN,0.9090909090909091
2024,7,NYG,NYJ,3.0,1,-2.238969,-7.0440083,0.5226325136195611,0.22959034494923347,0.761030912399292,NYG,0.5226325136195611,,PUSH,0.0
2024,7,PHI,PIT,-3.0,0,4.776866,8.2133665,0.552700245861668,0.7950240021810041,1.7768659591674805,PIT,0.7950240021810041,1.0,WIN,0.9090909090909091
2024,8,ARI,MIA,4.0,0,-1.1437356,-2.9430304,0.5842736206280059,0.30332050763620194,2.856264352798462,ARI,0.5842736206280059,1.0,WIN,0.9090909090909091
2024,8,ATL,TB,-1.5,0,7.1506257,3.1100652,0.6627038414900512,0.634193257248719,5.650625705718994,ATL,0.6627038414900512,1.0,WIN,0.9090909090909091
2024,8,BAL,CLE,-7.5,0,-3.056831,-2.552787,0.21857124159851082,0.6435334363922269,-10.556830883026123,CLE,0.6435334363922269,1.0,WIN,0.9090909090909091
2024,8,BUF,LA,-3.0,0,1.8315486,-1.0370659,0.4652797160560539,0.5581765296182277,-1.1684514284133911,LA,0.5581765296182277,1.0,WIN,0.9090909090909091
2024,8,CAR,DEN,13.0,0,-5.3475933,2.6612551,0.7145672720296683,0.22321471339800075,7.652406692504883,CAR,0.7145672720296683,0.0,LOSS,-1.0
2024,8,CHI,WAS,1.5,0,1.0515093,6.1727576,0.5754111061206671,0.6359371053001304,2.5515092611312866,WAS,0.6359371053001304,1.0,WIN,0.9090909090909091
2024,8,CIN,PHI,-2.5,1,4.4266276,1.6716231,0.5571089210381809,0.6219117589681666,1.9266276359558105,PHI,0.6219117589681666,1.0,WIN,0.9090909090909091
2024,8,DAL,SF,5.5,0,-4.883737,2.9695854,0.518331050335295,0.42520400460430197,0.6162629127502441,DAL,0.518331050335295,0.0,LOSS,-1.0
2024,8,DET,TEN,-12.5,1,0.88595676,-2.6537633,0.1969639692661927,0.7660674332456905,-11.614043235778809,TEN,0.7660674332456905,0.0,LOSS,-1.0
2024,8,GB,JAX,-3.5,0,3.6173747,2.335406,0.5034927092514948,0.6676641965680299,0.11737465858459473,JAX,0.6676641965680299,1.0,WIN,0.9090909090909091
2024,8,HOU,IND,-5.0,1,5.7776213,-4.548661,0.5231252798422776,0.5134277788063678,0.7776212692260742,HOU,0.5231252798422776,0.0,LOSS,-1.0
2024,8,KC,LV,-9.0,0,3.4038713,-12.414598,0.3387652961525725,0.39961820641791157,-5.596128702163696,LV,0.39961820641791157,1.0,WIN,0.9090909090909091
2024,8,LAC,NO,-7.0,1,0.5516651,-7.7582207,0.3161226085728266,0.47745095993090597,-6.448334872722626,NO,0.47745095993090597,0.0,LOSS,-1.0
2024,8,MIN,SEA,-3.0,0,-0.54153067,1.5570495,0.3959817915171762,0.6327161209686468,-3.541530668735504,SEA,0.6327161209686468,,PUSH,0.0
2024,8,NE,NYJ,7.0,1,-4.655552,1.9836575,0.5693645685708207,0.3545631653877599,2.3444480895996094,NE,0.5693645685708207,1.0,WIN,0.9090909090909091
2024,8,NYG,PIT,6.0,0,-9.683343,6.006017,0.39193118274193367,0.5001790562094516,-3.683342933654785,PIT,0.5001790562094516,1.0,WIN,0.9090909090909091
2024,9,ARI,CHI,-1.5,1,0.72384894,-0.80135995,0.47691838662801045,0.5207790386806888,-0.7761510610580444,CHI,0.5207790386806888,0.0,LOSS,-1.0
2024,9,ATL,DAL,-3.0,1,6.044651,-8.256267,0.5897282291816967,0.34798925879763154,3.0446510314941406,ATL,0.5897282291816967,1.0,WIN,0.9090909090909091
2024,9,BAL,DEN,-9.0,1,3.74409,-0.0143008195,0.34799899404285983,0.7465834192711986,-5.2559099197387695,DEN,0.7465834192711986,0.0,LOSS,-1.0
2024,9,BUF,IND,-6.5,1,5.8884068,-5.1103826,0.4818077418188154,0.5412677213341993,-0.6115932464599609,IND,0.5412677213341993,,PUSH,0.0
2024,9,CAR,NO,7.0,1,-6.6846337,-5.5494866,0.5093834875980859,0.17910438405742074,0.315366268157959,CAR,0.5093834875980859,1.0,WIN,0.9090909090909091
2024,9,CIN,LV,-8.0,1,1.5758,-10.217813,0.3167538083736184,0.43434260170660893,-6.424200057983398,LV,0.43434260170660893,0.0,LOSS,-1.0
2024,9,CLE,LAC,2.0,1,-0.6250672,-1.1809481,0.5408333654253661,0.4063375199149822,1.3749328255653381,CLE,0.5408333654253661,0.0,LOSS,-1.0
2024,9,DET,GB,-2.5,0,6.55716,3.1545045,0.6186817113400317,0.6628083010033667,4.057159900665283,GB,0.6628083010033667,0.0,LOSS,-1.0
2024,9,HOU,NYJ,2.5,0,5.856036,-2.880766,0.7317329781584432,0.34459808203133846,8.356036186218262,HOU,0.7317329781584432,0.0,LOSS,-1.0
2024,9,JAX,PHI,7.5,0,-3.3671873,9.813804,0.6208176313510606,0.5684680936498422,4.132812738418579,JAX,0.6208176313510606,1.0,WIN,0.9090909090909091
2024,9,KC,TB,-9.0,1,9.210615,-0.74333376,0.5062670589399577,0.7293447391193557,0.2106151580810547,TB,0.7293447391193557,1.0,WIN,0.9090909090909091
2024,9,LA,SEA,-1.5,0,-0.1498445,-3.0962126,0.4510448138727421,0.45262758298297967,-1.6498444974422455,SEA,0.45262758298297967,0.0,LOSS,-1.0
2024,9,MIA,MIN,6.5,0,-2.0054407,3.8257525,0.630972146878328,0.42101407906273,4.494559288024902,MIA,0.630972146878328,1.0,WIN,0.9090909090909091
2024,9,NE,TEN,3.0,0,-5.416743,-4.435749,0.42852212580929805,0.2908355162952924,-2.4167428016662598,NE,0.42852212580929805,,PUSH,0.0
2024,9,NYG,WAS,4.5,1,-8.024208,1.7100997,0.396477463205678,0.417652355921908,-3.5242080688476562,WAS,0.417652355921908,1.0,WIN,0.9090909090909091
2024,10,ARI,NYJ,2.0,1,1.4317825,-3.3084679,0.6008746753677677,0.3465656768080903,3.4317824840545654,ARI,0.6008746753677677,1.0,WIN,0.9090909090909091
2024,10,ATL,NO,-3.5,0,5.190545,-6.354378,0.5501557445422252,0.4157810861008687,1.6905450820922852,ATL,0.5501557445422252,0.0,LOSS,-1.0
2024,10,BAL,CIN,-6.0,1,-3.9913373,2.9445643,0.2307417627145283,0.7456283666659611,-9.991337299346924,CIN,0.7456283666659611,1.0,WIN,0.9090909090909091
2024,10,BUF,HOU,-4.5,0,2.3910396,7.761604,0.437534419833423,0.815525605638561,-2.1089603900909424,HOU,0.815525605638561,1.0,WIN,0.9090909090909091
2024,10,CAR,NYG,6.5,1,-10.555296,0.19356214,0.3813709660872758,0.31984228998528985,-4.055295944213867,CAR,0.3813709660872758,1.0,WIN,0.9090909090909091
2024,10,CHI,NE,-6.5,1,1.577541,-8.222249,0.35714912086084927,0.448909432915417,-4.922459006309509,NE,0.448909432915417,1.0,WIN,0.9090909090909091
2024,10,DAL,PHI,7.5,1,-6.27431,10.799242,0.5364158835944709,0.597068427422885,1.2256898880004883,PHI,0.597068427422885,1.0,WIN,0.9090909090909091
2024,10,DEN,KC,7.5,0,-6.1126065,5.6687737,0.5412019421974281,0.44569861094909824,1.3873934745788574,DEN,0.5412019421974281,1.0,WIN,0.9090909090909091
2024,10,DET,IND,-4.5,0,3.343152,2.1771324,0.46562353893529085,0.6898308342279316,-1.1568479537963867,IND,0.6898308342279316,,PUSH,0.0
2024,10,JAX,MIN,7.0,1,1.53779,2.7203476,0.7360700096381673,0.37504856924494945,8.537789940834045,JAX,0.7360700096381673,1.0,WIN,0.9090909090909091
2024,10,LA,MIA,-2.5,1,2.128798,-0.8435585,0.488955606440164,0.5491498151038336,-0.3712019920349121,MIA,0.5491498151038336,1.0,WIN,0.9090909090909091
2024,10,LAC,TEN,-8.0,1,4.191122,-8.894948,0.38835651402578114,0.4733910765781856,-3.808877944946289,TEN,0.4733910765781856,0.0,LOSS,-1.0
2024,10,PIT,WAS,1.5,0,6.581707,7.135515,0.7251107626276287,0.6622967706208505,8.081707000732422,PIT,0.7251107626276287,1.0,WIN,0.9090909090909091
2024,10,SF,TB,-6.5,0,2.845652,-0.77676636,0.3927583135612924,0.6646568591342104,-3.6543478965759277,TB,0.6646568591342104,1.0,WIN,0.9090909090909091
2024,11,ATL,DEN,2.0,0,1.7683532,1.1563127,0.6104906764801823,0.4749128345798266,3.768353223800659,ATL,0.6104906764801823,0.0,LOSS,-1.0
2024,11,BAL,PIT,-3.0,0,-1.6308489,7.1696854,0.3652282755653605,0.7731422813546356,-4.6308488845825195,PIT,0.7731422813546356,1.0,WIN,0.9090909090909091
2024,11,BUF,KC,-2.5,1,7.4748416,5.666723,0.6442946466040518,0.727172733910586,4.974841594696045,KC,0.727172733910586,0.0,LOSS,-1.0
2024,11,CHI,GB,6.0,1,0.61553115,1.6750116,0.6882333672433145,0.3737755254021179,6.615531146526337,CHI,0.6882333672433145,1.0,WIN,0.9090909090909091
2024,11,CIN,LAC,1.0,0,-5.7761946,11.796228,0.36119266661961635,0.7864530141025499,-4.7761945724487305,LAC,0.7864530141025499,1.0,WIN,0.9090909090909091
2024,11,CLE,NO,-1.0,0,-8.0701,0.043283574,0.2514636897592457,0.5310099433110339,-9.070099830627441,NO,0.5310099433110339,1.0,WIN,0.9090909090909091
2024,11,DAL,HOU,7.5,1,-1.9920722,1.426413,0.6588510877519753,0.32599074493390157,5.507927775382996,DAL,0.6588510877519753,0.0,LOSS,-1.0
